"rango_edad","estatura_m","sexo","peso_lbs","curso"
"18 a 22","1.76","Masculino","155","1"
"18 a 22","1.7","Femenino","135","3"
"18 a 22","1.87","Masculino","206","1"
"Menos de 18","1.66","Femenino","128","1"
"18 a 22","1.73","Femenino","148","1"
"Menos de 18","1.54","Femenino","120","1"
"18 a 22","1.63","Masculino","115","1"
"Menos de 18","1.73","Masculino","163","1"
"Mas de 22","1.7","Masculino","162","1"
"18 a 22","1.56","Femenino","134","1"
"Menos de 18","1.8","Masculino","155","1"
"18 a 22","1.71","Masculino","165","1"
"18 a 22","1.5","Femenino","135","2"
"18 a 22","1.65","Femenino","150","1"
"18 a 22","1.8","Masculino","155","1"
"Menos de 18","1.57","Masculino","166","1"
"Mas de 22","1.54","Femenino","105","1"
"18 a 22","1.63","Masculino","110","2"
"Mas de 22","1.58","Masculino","144","1"
"Menos de 18","1.67","Masculino","132","1"
"Menos de 18","1.68","Femenino","120","1"
"Mas de 22","1.77","Femenino","143","1"
"Mas de 22","1.77","Masculino","165","1"
"Menos de 18","1.45","Femenino","120","1"
"Mas de 22","1.79","Masculino","190","1"
"18 a 22","1.69","Masculino","150","2"
"18 a 22","1.66","Femenino","122","1"
"Menos de 18","1.66","Femenino","146","1"
"18 a 22","1.75","Masculino","170","2"
"18 a 22","1.69","Masculino","138","1"
"18 a 22","1.78","Femenino","140","1"
"18 a 22","1.77","Masculino","161","1"
"18 a 22","1.7","Masculino","135","1"
"Mas de 22","1.69","Femenino","140","3"
"Menos de 18","1.62","Femenino","121","1"
"Menos de 18","1.77","Masculino","155","1"
"Menos de 18","1.82","Masculino","155","1"
"Mas de 22","1.7","Masculino","200","3"
"18 a 22","1.72","Masculino","142","1"
"18 a 22","1.73","Masculino","152","1"
"Menos de 18","1.79","Masculino","143","1"
"18 a 22","1.86","Masculino","171","1"
"Menos de 18","1.61","Femenino","140","1"
"Menos de 18","1.65","Femenino","144","1"
"Menos de 18","1.53","Femenino","101","1"
"Menos de 18","1.77","Masculino","150","1"
"18 a 22","1.71","Masculino","156","1"
"Menos de 18","1.67","Masculino","167","1"
"18 a 22","1.67","Femenino","148","1"
"18 a 22","1.66","Femenino","122","1"
"18 a 22","1.7","Masculino","180","3"
"Menos de 18","1.76","Masculino","134","1"
"18 a 22","1.75","Masculino","220","3"
"18 a 22","1.62","Masculino","143","1"
"Menos de 18","1.56","Femenino","128","1"
"Menos de 18","1.66","Masculino","149","1"
"18 a 22","1.8","Masculino","210","3"
"Menos de 18","1.74","Masculino","163","1"
"Menos de 18","1.77","Masculino","159","1"
"18 a 22","1.78","Masculino","185","3"
"Menos de 18","1.65","Masculino","135","1"
"Menos de 18","1.67","Masculino","134","1"
"18 a 22","1.67","Femenino","144","1"
"18 a 22","1.78","Masculino","182","1"
